category,product,gross_sale,qty,month,class
Frozen,Plain Paratha 25 Pcs,7.99,1,3,2
Grocery,Basmoti Tilda 10 Lb,44.97,3,3,1
Fresh Vegitable,Dhonia Pata,1.5,1,3,1
Fresh Vegitable,Green Chilli,2.4,0.48,3,3
Fresh Vegitable,Patal,8.08,1.8,3,3
None,Plain Rice,2,1,3,3
Fish,Shrimp  Brown 400 G,26.97,3,3,1
Spices,R Mejbani Beef Mas,1.69,1,3,1
Spices,R Garam Masala,4.99,1,3,1
None,Plain Rice,1.45,1,3,3
Grocery,Food colour Deep 25g,3.49,1,3,1
None,Plain Rice,10.5,1,3,3
Sweet,Jilapi,3.29,0.47,3,1
Grocery,Egg  12 Pcs,8.97,3,3,1
Beef,Beef with Bone,35.12,8,3,3
Frozen,Tandoori Spread 400jg,16.99,1,3,1
Achar,Ruchi Mixedchutney,4.49,1,3,1
Fish,Pagush 3 Kg Up,18.15,5.2,3,1
Fish,Keski,3.99,1,3,1
Fish,Baila 500g,10.99,1,3,2
Fish,Koi,8.89,1,3,1
Fresh Vegitable,Beans (seam),5.99,1.2,4,1
Fresh Vegitable,Patal,8.98,2,4,3
Fresh Vegitable,Dhonia Pata,1.5,1,4,1
Chicken,Chicken Leg,17.26,8.26,4,3
Frozen,Data,3.49,1,4,1
Spices,Black Salt Tit Bit 100 G,1.99,1,4,1
Chicken,Whole Chicken With Skin,18.38,6.45,4,1
Spices,R Fill Powder 200g,2.99,1,4,1
Spices,R Cumin 200g,3.99,1,4,1
Spices,R Coriander Powder,2.99,1,4,1
Grocery,Bombay Chanachur 600g,5.99,1,4,1
Beverages,Beatrice 3%,5.99,1,4,2
Beef,Beef Kima,34.68,6.95,4,1
Beef,Beef with Bone,42.23,9.62,4,3
Chicken,Whole Chicken Off Skin,46.3,14.03,4,1
None,Plain Rice,37.7,1,4,3
Frozen,Loti,10.47,3,4,1
Spices,Beef Mas,3.38,2,4,2
Fresh Vegitable,Sim ,6.94,1.39,4,3
Fresh Vegitable,Pan,1.99,1,4,1
Beef,Beef with Bone,41.84,9.53,4,3
Chicken,Whole Chicken Off Skin,22.64,6.86,4,1
Spices,R Tehari Masala,8.45,5,4,1
Fresh Vegitable,Green Chilli,1.85,0.37,4,3
Grocery,Rice Treasure 8 K,13.99,1,4,1
Grocery,R Jhal Muri,2.97,3,4,1
Grocery,Salt Table,2.39,1,4,1
Fresh Vegitable,Pumkin,15.96,4,4,1
Fish,Puti,3.99,1,4,1
Chicken,Chicken Leg,10.03,4.8,4,3
Spices, R Kala Bhuna Masala,5.97,3,4,1
Frozen,Chapati Roti,4.49,1,4,1
Lamb,Lamb Mix,271.66,34,4,1
None,Plain Rice,28,1,4,3
None,Plain Rice,49.25,1,4,3
None,Plain Rice,5,1,4,3
Chicken,Whole Chicken Off Skin,9.24,2.8,4,1
Fresh Vegitable,Pan,1.99,1,4,1
Grocery,Ruchi Hot Chanachur,3.49,1,4,1
Grocery,Supari(Bettel Nut),4.99,1,4,1
Spices,Soup Magi125g,8.94,6,4,1
Grocery,Supari(Bettel Nut),4.99,1,4,1
Sweet,Chom Chom 800 G,15.99,1,4,1
Grocery,Potato Chip,0.99,1,4,1
Fish,Harina,3.99,1,4,1
Fish,Koi 250 G,6.49,1,4,1
Fresh Vegitable,Sim ,5.09,1.02,4,3
Fresh Vegitable,Patal,8.4,1.87,4,3
Frozen,Data,6.98,2,4,1
Fish,Ssing,9.99,1,5,1
Fish,Sor Puti,8.52,2.44,5,1
None,Plain Rice,4.99,1,5,3
Fresh Vegitable,Pan,1.99,1,5,1
Ready Made Food,Chicken Somucha,8,1,5,3
Fresh Vegitable,Sim ,6.69,1.34,5,3
Beverages,Beatrice 3%,5.99,1,5,2
Fresh Vegitable,Egg,2.99,1,5,1
Grocery,Coconut Milk Aroy400 Ml,3.98,2,5,1
Chicken,Whole Chicken With Skin,16.3,5.72,5,1
Ready Made Food,Veg Somucha,7.5,6,5,3
Ready Made Food,Chicken Somucha,12,1,5,3
Chicken,Chicken Leg,10.53,5.04,5,3
Chicken,Chicken Drumstick,19.79,4.96,5,1
Chicken,Chicken Leg,3.66,1.75,5,1
Beef,Beef with Bone,22.74,5.18,5,3
Fresh Vegitable,Pumkin,13.05,3.27,5,1
Fresh Vegitable,Patal,7.32,1.63,5,3
Fresh Vegitable,Green Chilli,2.59,0.52,5,3
Fresh Vegitable,Dhonia Pata,1.5,1,5,1
Fresh Vegitable,Sim ,5.79,1.16,5,3
Fresh Vegitable,Papaya,8.18,2.05,5,1
None,Plain Rice,18.99,1,5,3
Fresh Vegitable,Pumkin,26.81,6.72,5,1
Fish,Hilsha Egg,11.99,1,5,1
Fish,Lotia Sutki,5.89,1,5,1
Spices,S Memoni Muttton Biryani,1.45,1,5,1
